名称,稀有度,价格,用途,介绍,获取途径,标签,类型,子类型,规格,家装系列,舒适度,收藏值,角色特殊互动,pics,,
雪中樱-方,金,64000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。于冰山上盛放的樱花树，落樱与鱼儿互相追逐，构成一幅静谧美丽的水下画卷。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,S,静谧水居S,128,640,,雪中樱-方,,
绿野居-方,金,48000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。绿色草地铺满水底，岩石与亭台错落有致，鱼儿游弋其间，宛如一幅静谧的山水画。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,S,静谧水居S,96,480,,绿野居-方,,
千秋境-方,金,48000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。雄伟的城堡与层叠的岩石构成就一幅奇幻景象，色彩明丽布局丰富，仿佛进入水下的童话故事。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,S,静谧水居S,96,480,,千秋境-方,,
冒险岛-方,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。层叠的方块地形搭配鲜绿色草地，鱼儿游弋，宛如进入经典游戏世界的水下版本。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,S,静谧水居S,64,320,,冒险岛-方,,
静谧水居,金,22500,收录后可增加收藏值，摆放在家中时将增加舒适度。,时新的家用鱼缸。大巧不工的实木底座与现代精工的透明四边相结合，给平淡的家居生活增添一尾趣味。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸,L,静谧水居L,45,225,,静谧水居L,,
环幕山色-方,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。青崖翠石盘旋而上，一泓清水间，山水神韵现。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,静谧水居L,64,320,,环幕山色-方,,
绯梦城堡-方,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。城壁向上，梦向下。如同一个完整而立体的童话国度，是鱼群的梦幻乐园。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,静谧水居L,64,320,,绯梦城堡-方,,
曲境寒樱-方,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。积雪掩映繁花，交织成一场永不凋零的幻梦。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,静谧水居L,64,320,,曲境寒樱-方,,
像素环城-方,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。方块盛盘堆叠而成的微型都市，在曲面折射下更显绿意盎然。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,静谧水居L,64,320,,像素环城-方,,
一杯水,金,150000,古董可不需要有任何功能，它的存在就是为了收藏。收录后增加收藏值，摆放在家中可增加舒适度。,毕其尔·怀特斯先生早年的练习作。虽然笔法稍显稚嫩，但在配色上已经有了几分后来Mr.DSD的影子。就像是怀特斯先生始终坚持的理念一样，他画的一杯水，也只是一杯水。,拍卖会购买，标价为起拍价,家装、可购买、特殊获取,墙壁,画,M,拍卖会系列,300,1500,,一杯水,,
梦径,金,300000,古董可不需要有任何功能，它的存在就是为了收藏。收录后增加收藏值，摆放在家中可增加舒适度。,"《花组画·梦径》，作者：毕其尔·怀特斯，佚名。
怀特斯在日记中多次提到他在游学时结识了一位至交好友，经常相约探讨艺术，甚至一起睡在画室中彻夜创作，《花组画》正是创造于该段时期。或许也是受到了这位友人的影响，该时期怀特斯的画作用色更加浅淡清新，以描绘事物具体形象为主。
《梦径》为这组画的第一张，是由怀特斯根据友人口述的梦中小径景象绘制而成。",拍卖会购买，标价为起拍价,家装、可购买、特殊获取,墙壁,画,M,拍卖会系列,600,3000,,梦径,,
蝶恋花,金,360000,古董可不需要有任何功能，它的存在就是为了收藏。收录后增加收藏值，摆放在家中可增加舒适度。,"《花组画·蝶恋花》，作者：毕其尔·怀特斯，佚名。
怀特斯在日记中多次提到他在游学时结识了一位至交好友，经常相约探讨艺术，甚至一起睡在画室中彻夜创作，《花组画》正是创造于该段时期。或许也是受到了这位友人的影响，该时期怀特斯的画作用色更加浅淡清新，以描绘事物具体形象为主。
《蝶恋花》为这组画的第三张，怀特斯在听说了当地一个凄美的爱情故事之后绘制的，另一位则为这篇画作题了一句诗。
「蝶使寻枝初破蕊，半卷胭脂，羞被东风窥。」",拍卖会购买，标价为起拍价,家装、可购买、特殊获取,墙壁,画,M,拍卖会系列,720,3600,,蝶恋花,,
舌尖上的章鱼丸子,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。即使是大胃王鬼郎丸也不能吃掉别人的食物！那是娜娜莉给鉴定师带的夜宵！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,舌尖上的章鱼丸子,,
险境秘渊,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。无论将要面对的是什么，我们都会共同战胜。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,险境秘渊,,
非正式例会,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。E.T.D四队队员们难得悠闲的下午茶时光，遇到的话不妨去打个招呼吧，他们会很欢迎你的加入的。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,非正式例会,,
午后闲游,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。如果不知道该吃什么好的话，不妨听听薄荷的推荐。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,午后闲游,,
城市探险家,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。准备好了吗？我们一起去探险吧！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,城市探险家,,
送货上门,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。斯特利速递，竭诚为您服务！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,送货上门,,
未竟的奇遇,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。时针指向午夜，魔法解除，真正的冒险才刚刚开始。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,未竟的奇遇,,
飞行故障,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。对于敢于尝试的人来说，意外只是生活常态。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,飞行故障,,
前方通行,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。太厉害了！公交车居然也可以开到这个速度！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,前方通行,,
巡逻时间！,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。巡逻时间到！和薄荷一起去守护这座城市吧！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,巡逻时间！,,
幽灵列车,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。娜娜莉！它要带我们去哪啊啊啊啊——！！！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗>后随机获得】",家装、可购买、特殊获取,墙壁,画,L,绘影窗系列,20,100,,幽灵列车,,
声动海特洛！,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。抛开走调和错音等失误不谈——我们几个的演出真是太好啦！,Oops! Chest礼品店(桥间地),家装、可购买,墙壁,画,L,,20,100,,声动海特洛！,,
海特洛夜游,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。别走神了，海特洛的夜生活才刚刚开始呢。,Oops! Chest礼品店(桥间地),家装、可购买,墙壁,画,L,,20,100,,海特洛夜游,,
九百九十九夜,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。关于勇者斗恶龙的故事……每一夜都值得述说。,Oops! Chest礼品店(绘空町),家装、可购买,墙壁,画,L,,20,100,,九百九十九夜,,
夏日沙滩和你,金,10000,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。你知道自己绝对不会忘记的——夏日、沙滩，和大家一起共度的那个盛夏。,Oops! Chest礼品店(米格尔区),家装、可购买,墙壁,画,L,,20,100,,夏日沙滩和你,,
管家的修养,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。多年之后，他将这样说：他已经将所有的才能用以服务一个伟大的家族。,阿德勒 羁遇等级5级 羁遇奖励,家装、不可购买、特殊获取,墙壁,画,M,羁遇奖励系列,20,100,,管家的修养,,
旧茧,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。他曾想过反复追问，然而万物静默如谜。,白藏 羁遇等级5级 羁遇奖励,家装、不可购买、特殊获取,墙壁,画,M,羁遇奖励系列,20,100,,旧茧,,
时间以外的,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。你在身边，你不在身边，她以此度量时间。,浔 羁遇等级5级 羁遇奖励,家装、不可购买、特殊获取,墙壁,画,M,羁遇奖励系列,20,100,,时间以外的,,
我之为我,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。常规往往充满变数，生活认识一条通往异常的路。,翳（狗哥） 羁遇等级5级 羁遇奖励,家装、不可购买、特殊获取,墙壁,画,M,羁遇奖励系列,20,100,,我之为我,,
万物之味,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。开始回忆时，数千种气味便汇合成一条大河，向她汹涌而来。,薄荷 羁遇等级5级 羁遇奖励,家装、不可购买、特殊获取,墙壁,画,M,羁遇奖励系列,20,100,,万物之味,,
疾速物流,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。有人带她见识到一个全新的世界，风驰电掣间，她的心里逐渐有了欢喜。,哈索尔 羁遇等级5级 羁遇奖励,家装、不可购买、特殊获取,墙壁,画,M,羁遇奖励系列,20,100,,疾速物流,,
安魂弥撒,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。我祝福你，祝福你的梦中没有恶魇，祝福你在安魂弥撒中永获安宁。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,安魂弥撒,,
熊猫经理！参上,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。摆、摆这样的pose可以吗？抱歉，我有点紧张……,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,熊猫经理！参上,,
猎犬与罪业,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。别惹这脱缰暴走的神（严肃耍帅中）——等下，是这么唱的来着吗？,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,猎犬与罪业,,
心灯只欲窥探,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。如果说还有什么是你尚未窥清的，那便只剩她的心了。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,心灯只欲窥探,,
世界的中心,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。谁站在世界的中心？曾经、现在、未来——当然是娜娜莉！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,世界的中心,,
纯白梦,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。小兽在温暖湿润的巢穴中沉眠，嘘……就这样做一个永远、永远纯白的梦吧。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,纯白梦,,
速递冠军,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。嗨嗨，我的速递好搭档！晴光正好，该出发啦！,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,速递冠军,,
陈伤不再,金,0,可以装饰家里的挂画，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。陈伤不再，全部溶于火焰，烧出一个崭新的她。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)
【购买道具<绘影窗-留痕>后随机获得】",家装、可购买、特殊获取,墙壁,画,M,绘影窗系列,20,100,,陈伤不再,,
幸福「伊」家人,金,0,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。塔吉多绘制的伊波恩全家福，即使以后要去更远的地方，塔吉多也希望你不要忘了回家！,支线任务「市民证-回到伊波恩」,家装、不可购买、特殊获取,墙壁,画,L,,10,50,,幸福「伊」家人-女主,,
幸福「伊」家人,金,0,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以挂在墙上的装饰画。塔吉多绘制的伊波恩全家福，即使以后要去更远的地方，塔吉多也希望你不要忘了回家！,支线任务「市民证-回到伊波恩」,家装、不可购买、特殊获取,墙壁,画,L,,10,50,,幸福「伊」家人-男主,,
光影留痕,紫,24000,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,为家装增添趣味的墙饰。极具代表性的电影元素，胶片与放映机的结合，是古典的电影美学。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(米格尔区)",家装、可购买、一咖舍,墙壁,墙饰,L,,48,240,,光影留痕,,
律动蜂巢,紫,24000,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,为家装增添趣味的墙饰。蜂巢样式的排列深浅交错，简洁却富有变化，增添了空间的视觉趣味。,Oops! Chest礼品店(桥间地),家装、可购买、一咖舍,墙壁,墙饰,L,,48,240,,律动蜂巢,,
慵懒喵喵,紫,24000,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,为家装增添趣味的墙饰。极具代表性的电影元素，胶片与放映机的结合，是古典的电影美学。,Oops! Chest礼品店(绘空町),家装、可购买、一咖舍,墙壁,墙饰,L,,48,240,,慵懒喵喵,,
线性秩序,紫,20000,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,为家装增添趣味的墙饰。整齐排列的细线条构成简洁而现代，棕色调增添温暖质感，适合极简风格的装饰。,"Oops! Chest礼品店(桥间地)
Oops! Chest礼品店(绘空町)
Oops! Chest礼品店(米格尔区)",家装、可购买、一咖舍,墙壁,墙饰,L,,40,200,,线性秩序,,
浅绯祈-蓝色彼方,金,45000,「邂逅~银月圆舞会」系列手办，可以装饰家里的大型摆件，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,"DSD潮玩店(桥间地)
DSD潮玩店(绘空町)
DSD潮玩店(米格尔区)
DSD潮玩店(新赫兰德区)",家装、可购买、可偷取,装饰、手办,大手办,L,浅绯祈系列手办,90,450,,浅绯祈-蓝色彼方,,
霓虹夜喵,紫,45000,可以装饰家里的大型摆件，收录后增加收藏值，摆放在家中可增加舒适度。,家用型超大摆件，一键省心解决装饰烦恼。夜行中沾染霓虹色的猫咪，未来感与酷感相结合，完美适合科技与现代风格的收藏者。,DSD潮玩店(米格尔区-铁心9号路),家装、可购买,装饰、手办,大手办,L,,90,450,,霓虹夜喵,,
暴走棉绒绒-力之源泉,紫,30000,暴走棉绒绒系列手办，可以装饰家里的大型手办，收录后增加收藏值，摆放在家中可增加舒适度。,摆出奇怪造型的暴走棉线绒。外观狂放不羁，但手感很好。DSD潮玩店温馨提示：虽然异象联名系列潮玩并不会二次变身，保存时还请远离火源。,DSD潮玩店(桥间地),家装、可购买,装饰、手办,大手办,L,暴走棉绒绒系列手办,60,300,,暴走棉绒绒-力之源泉,,
褪色谜,紫,30000,可以装饰家里的大型摆件，收录后增加收藏值，摆放在家中可增加舒适度。,家用型超大摆件，一键省心解决装饰烦恼。仅有黑白两色的手办，特殊图案显得神秘而富有吸引力，如同一个谜题让人想要深入探索。,"DSD潮玩店(绘空町)
DSD潮玩店(新赫兰德区)",家装、可购买,装饰、手办,大手办,L,,60,300,,褪色谜,,
心猎铁骑L1-唯我独尊,紫,36000,心猎铁骑L1系列手办，可以装饰家里的大型摆件，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要战胜一切邪恶！心猎铁骑L1系列手办，绝赞售卖中！,"DSD潮玩店(桥间地)
DSD潮玩店(绘空町)
DSD潮玩店(米格尔区)
DSD潮玩店(新赫兰德区)",家装、可购买,装饰、手办,大手办,L,心猎铁骑L1系列手办,72,360,,心猎铁骑L1-唯我独尊,,
心猎铁骑L2-心猎觉醒,紫,36000,心猎铁骑L2系列手办，可以装饰家里的大型摆件，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要肩负一切责任！心猎铁骑L2系列手办，绝赞售卖中！,"DSD潮玩店(桥间地)
DSD潮玩店(绘空町)
DSD潮玩店(米格尔区)
DSD潮玩店(新赫兰德区)",家装、可购买,装饰、手办,大手办,L,心猎铁骑L2系列手办,72,360,,心猎铁骑L2-心猎觉醒,,
心猎铁骑L3-指引未来,紫,36000,心猎铁骑L3系列手办，可以装饰家里的大型摆件，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要守护一切梦想！心猎铁骑L3系列手办，绝赞售卖中！,"DSD潮玩店(桥间地)
DSD潮玩店(绘空町)
DSD潮玩店(米格尔区)
DSD潮玩店(新赫兰德区)",家装、可购买,装饰、手办,大手办,L,心猎铁骑L3系列手办,72,360,,心猎铁骑L3-指引未来,,
心猎铁骑L1系列,灰,0,心猎铁骑L1系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要战胜一切邪恶！心猎铁骑L1系列手办，绝赞售卖中！,"扭蛋机
此物品收藏值与扭蛋所收集手办情况相关",家装、特殊获取,装饰、手办,手办,S,心猎铁骑L1系列手办,0,0,,心猎铁骑L1系列,,
心猎铁骑L2系列,灰,0,心猎铁骑L2系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要肩负一切责任！心猎铁骑L2系列手办，绝赞售卖中！,"扭蛋机
此物品收藏值与扭蛋所收集手办情况相关",家装、特殊获取,装饰、手办,手办,S,心猎铁骑L2系列手办,0,0,,心猎铁骑L2系列,,
心猎铁骑L3系列,灰,0,心猎铁骑L3系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要守护一切梦想！心猎铁骑L3系列手办，绝赞售卖中！,"扭蛋机
此物品收藏值与扭蛋所收集手办情况相关",家装、特殊获取,装饰、手办,手办,S,心猎铁骑L3系列手办,0,0,,心猎铁骑L3系列,,
浅绯祈系列,灰,0,「邂逅~银月圆舞会」系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,"扭蛋机
此物品收藏值与扭蛋所收集手办情况相关",家装、特殊获取,装饰、手办,手办,S,浅绯祈系列手办,0,0,,浅绯祈系列,,
暴走棉绒绒系列,灰,0,暴走棉绒绒系列手办，可以摆放在家里的手办柜中并增加舒适度，收录后增加收藏值。,摆出奇怪造型的暴走棉线绒。外观狂放不羁，但手感很好。DSD潮玩店温馨提示：虽然异象联名系列潮玩并不会二次变身，保存时还请远离火源。,"扭蛋机
此物品收藏值与扭蛋所收集手办情况相关",家装、特殊获取,装饰、手办,手办,S,暴走棉绒绒系列手办,0,0,,暴走棉绒绒系列,,
番茄遐想,金,0,摆放在家里的手办柜中并增加舒适度，收录后增加收藏值。,安魂曲有时候会想，世界如果是一个巨大的番茄……,安魂曲 6级觉醒赠礼,家装、特殊获取,装饰、手办,手办,S,觉醒赠礼系列,20,100,,番茄遐想,,
准备就绪,金,0,摆放在家里的手办柜中并增加舒适度，收录后增加收藏值。,既然下定了决心，那就不要犹豫。,真红 6级觉醒赠礼,家装、特殊获取,装饰、手办,手办,S,觉醒赠礼系列,20,100,,准备就绪,,
危机时刻！,金,0,摆放在家里的手办柜中并增加舒适度，收录后增加收藏值。,看到这张相片被制作成手办后，卡恩斯本人脸上出现了和手办相同的表情。,卡厄斯 6级觉醒赠礼,家装、特殊获取,装饰、手办,手办,S,觉醒赠礼系列,20,100,,危机时刻！,,
软绵绵罐头,金,0,摆放在家里的手办柜中并增加舒适度，收录后增加收藏值。,这个罐头不可以用来装饮料哦~,伊洛伊 6级觉醒赠礼,家装、特殊获取,装饰、手办,手办,S,觉醒赠礼系列,20,100,,软绵绵罐头,,
绯刃出鞘,金,0,摆放在家里的手办柜中并增加舒适度，收录后增加收藏值。,传说，妖刀出鞘时的鸣声十分悦耳，可惜许多人一生只能欣赏一次。,残虹 6级觉醒赠礼,家装、特殊获取,装饰、手办,手办,S,觉醒赠礼系列,20,100,,绯刃出鞘,,
瑰色心意,蓝,10000,可以装饰家里的花束，收录后增加收藏值，摆放在家中可增加舒适度。,"爱是美与脆弱的矛盾统一，是短暂与永恒的纠缠，是你悉心照料的玫瑰于花园中盛放，一如生命中那些馥郁又炽烈的瞬间。
我的花语，是浓烈的爱。",集山忘野花店(绘空町),家装、可购买,装饰,摆件,S,,20,100,,瑰色心意,,
金色飞球,蓝,750000,社团大战冠军奖杯，它的存在就是为了收藏。收录后增加收藏值，摆放在家中可增加舒适度。,"克莱门学院三十周年校庆时，为纪念当时夺得社团大战冠军的足球社特别定制的奖杯。奖杯的持有者：足球社团的社团，本件拍品的卖主有：
「所有拍卖所得均会无偿捐赠给海特洛市体育协会，为海特洛市的足球事业增添一份微不足道的力量。」",拍卖会购买，标价为起拍价,家装、可购买、特殊获取,装饰,摆件,S,拍卖会系列,1500,7500,,金色飞球,,
「强身好伙伴！」,金,80000,可以装饰家里的摆件，增加舒适度和收藏值。,结实耐用的沙袋。外形可爱吸睛，是锻炼身体的不错选择，兼有晾衣服，猫爬架等多种功能，娜娜莉似乎对它情有独钟。,超规格家饰馆(米格尔区),家装、可购买,装饰,摆件,S,,160,800,,「强身好伙伴！」,,
液晶视屏,金,25000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。全面屏设计，搭载智能操作系统，是闲暇时消磨时间的不错选择。,布朗电器店(新赫兰德区),家装、可购买,装饰,摆件,M,布朗电器店摆件系列,50,250,,液晶视屏,,
梦中茧,蓝,0,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,白藏赠送的装饰品。蝴蝶飞过梦境，洒下金色的鳞粉，祝你拥有一个甜美的好梦。,白藏 羁遇等级6级 羁遇奖励,家装、不可购买、特殊获取,装饰,摆件,S,羁遇奖励系列,40,200,,梦中茧,,
专属客服,金,0,招财进宝，摆放在店铺中将增加人流量。,以粉爪银行吉祥物为原型设计的异象摆件，有时会带来意想不到的惊喜。前提是——在粉爪银行办张卡。,浔 羁遇等级6级 羁遇奖励,家装、不可购买、特殊获取,装饰,摆件,S,羁遇奖励系列,40,200,,专属客服,,
